Geography,Name,Median Household Income,Poverty Rate (%),Unemployment Rate (%),Bachelor's Degree or Higher (%)
8600000US01022,ZCTA5 01022,60353,19.5,6.3,34.4
8600000US01026,ZCTA5 01026,51213,5.8,3.6,41.4
8600000US01027,ZCTA5 01027,58551,8.1,4.4,31.1
8600000US01028,ZCTA5 01028,84173,5.1,4.5,39.8
8600000US01029,ZCTA5 01029,52566,17.1,8.7,24.5
8600000US01030,ZCTA5 01030,68326,10.6,3.9,28.2
8600000US01031,ZCTA5 01031,43583,22.4,10.5,17.6
8600000US01032,ZCTA5 01032,65000,3.6,6.1,39.6
8600000US01033,ZCTA5 01033,79647,5.6,2.1,31.8
8600000US01034,ZCTA5 01034,77448,7.4,5.4,33.0
8600000US01035,ZCTA5 01035,74737,7.5,2.3,45.1
8600000US01036,ZCTA5 01036,79639,4.3,4.3,36.2
8600000US01037,ZCTA5 01037,91471,9.9,6.9,44.7
8600000US01038,ZCTA5 01038,65536,8.6,2.1,39.0
8600000US01039,ZCTA5 01039,68500,9.9,5.4,47.0
8600000US01040,ZCTA5 01040,35550,30.1,8.4,23.2
8600000US01050,ZCTA5 01050,52813,8.8,2.5,18.5
8600000US01053,ZCTA5 01053,59850,19.2,7.0,36.3
8600000US01054,ZCTA5 01054,78125,9.6,2.4,64.9
8600000US01056,ZCTA5 01056,61410,5.9,4.3,21.2
8600000US01057,ZCTA5 01057,66343,8.4,7.9,28.3
8600000US01060,ZCTA5 01060,53427,16.7,4.7,59.3
8600000US01062,ZCTA5 01062,64727,11.3,6.0,55.4
8600000US01063,ZCTA5 01063,-,-,3.6,0.0
8600000US01066,ZCTA5 01066,-,0.0,0.0,100.0
8600000US01068,ZCTA5 01068,80577,5.1,6.3,33.7
8600000US01069,ZCTA5 01069,54412,7.1,6.5,22.4
8600000US01070,ZCTA5 01070,57031,9.7,4.8,44.3
8600000US01071,ZCTA5 01071,74688,2.2,4.3,27.1
8600000US01072,ZCTA5 01072,68203,8.6,4.3,62.1
8600000US01073,ZCTA5 01073,68693,4.9,2.6,29.1
8600000US01074,ZCTA5 01074,58140,0.0,0.0,37.4
8600000US01075,ZCTA5 01075,62408,9.3,4.6,38.7
8600000US01077,ZCTA5 01077,81967,2.9,3.9,32.5
8600000US01079,ZCTA5 01079,43654,15.1,5.9,26.0
8600000US01080,ZCTA5 01080,42794,19.9,5.7,14.3
8600000US01081,ZCTA5 01081,52768,4.3,4.8,19.0
8600000US01082,ZCTA5 01082,52709,14.6,6.5,22.8
8600000US01083,ZCTA5 01083,37126,10.1,5.1,15.2
8600000US01084,ZCTA5 01084,49886,5.7,5.2,57.5
8600000US01085,ZCTA5 01085,61211,10.7,6.4,30.4
8600000US01086,ZCTA5 01086,-,-,0.0,50.0
8600000US01088,ZCTA5 01088,41875,27.6,0.0,20.8
8600000US01089,ZCTA5 01089,52806,11.0,6.9,28.5
8600000US01092,ZCTA5 01092,48679,29.9,4.6,19.7
8600000US01093,ZCTA5 01093,82222,2.5,4.3,63.5
